Corporate	Category	Brand	SKU	Value 25	Share Value  25	Growth Value 25	Unit 25	Share Unit 25	Growth Unit 25	Value 24	Share Value  24	Growth Value 24	Unit 24	Share Unit 24	Growth Unit 24	Molecule
WILSHIRE	  ORPHENADRINE+PARACETAMOL	   MEDIGESIC          		26648021	0.51	-3.68	136307	0.49	-3.68	27665404	0.57	-18.62	141511	0.43	-20.58	  ORPHENADRINE+PARACETAMOL
GLOBAL	  ORPHENADRINE+PARACETAMOL	   GLORAL             		19256671	0.37	-29.88	136518	0.49	-42	27462180	0.56	-21.13	235387	0.72	-31	  ORPHENADRINE+PARACETAMOL
AXIS PHARMACEUTICA	  ORPHENADRINE+PARACETAMOL	   EROGESIC           		17354417	0.33	999	47344	0.17	999	0	0	0	0	0	0	  ORPHENADRINE+PARACETAMOL
SWISS PHARMA	  ORPHENADRINE+PARACETAMOL	   P-ORPH             		16150936	0.31	999	126674	0.46	999	0	0	0	0	0	0	  ORPHENADRINE+PARACETAMOL
SHAIGAN PHARMA	  ORPHENADRINE+PARACETAMOL	   ACETOFEN           		14214277	0.27	5.12	55401	0.2	56.7	13521974	0.28	-69.86	35355	0.11	-72.13	  ORPHENADRINE+PARACETAMOL
EVOLUTION PHARMA	  ORPHENADRINE+PARACETAMOL	   CORILAX            		14111918	0.27	999	27738	0.1	999	885744	0.02	999	2487	0.01	999	  ORPHENADRINE+PARACETAMOL
SAFE PHARMA	  ORPHENADRINE+PARACETAMOL	   PANGESIC           		8299331	0.16	495.07	82125	0.3	336.21	1394691	0.03	-16.07	18827	0.06	-24.88	  ORPHENADRINE+PARACETAMOL
GENIX PHARMA	  ORPHENADRINE+PARACETAMOL	   GENBROL            		4527270	0.09	999	39246	0.14	999	0	0	0	0	0	0	  ORPHENADRINE+PARACETAMOL
LISKO	  ORPHENADRINE+PARACETAMOL	   MUSCADOL           		4068720	0.08	496.73	16953	0.06	496.73	681840	0.01	999	2841	0.01	999	  ORPHENADRINE+PARACETAMOL
ARRETA PHARMA	  ORPHENADRINE+PARACETAMOL	   TYGESIC            		2095248	0.04	999	7054	0.03	999	163367	0	999	550	0	999	  ORPHENADRINE+PARACETAMOL
FOCUS & RULZ PHARM	  ORPHENADRINE+PARACETAMOL	   MOLODRIN           		1889735	0.04	20.01	6490	0.02	5.1	1574625	0.03	214.41	6175	0.02	214.41	  ORPHENADRINE+PARACETAMOL
MURFY PHARMA	  ORPHENADRINE+PARACETAMOL	   FORGIN             		1811435	0.03	-44.42	21311	0.08	-44.42	3259325	0.07	999	38345	0.12	999	  ORPHENADRINE+PARACETAMOL
WIMITS PHARMA	  ORPHENADRINE+PARACETAMOL	   PARADRINE          		1477120	0.03	-8.69	4909	0.02	-18.41	1617765	0.03	-8.08	6017	0.02	-35.78	  ORPHENADRINE+PARACETAMOL
SAMI	  ORPHENADRINE+PARACETAMOL	   PROVAS-N           		424295751	71.74	10.29	2583073	87.9	-2.25	384719614	76.81	33.22	2642581	91.38	8.78	  ORPHENADRINE+PARACETAMOL
AGP LIMITED	  ORPHENADRINE+PARACETAMOL	   SINAXAMOL PLUS     		137004326	23.17	33.6	212081	7.22	24.76	102547026	20.47	13.48	169993	5.88	-6.35	  ORPHENADRINE+PARACETAMOL
SWISS PHARMA	  ORPHENADRINE+PARACETAMOL	   P-ORPH             		11847632	2	999	62015	2.11	999	80473	0.02	-30.65	509	0.02	-30.65	  ORPHENADRINE+PARACETAMOL
GLOBAL	  ORPHENADRINE+PARACETAMOL	   GLORAL             		9052362	1.53	6.98	45719	1.56	6.98	8461926	1.69	27.97	42737	1.48	27.97	  ORPHENADRINE+PARACETAMOL
CELL LABORATORIES	  ORPHENADRINE+PARACETAMOL	   SIROL              		7800858	1.32	999	25493	0.87	999	0	0	0	0	0	0	  ORPHENADRINE+PARACETAMOL
HORIZON HEALTHCARE	  ORPHENADRINE+PARACETAMOL	   REDRINE            		1415557	0.24	-70.77	10280	0.35	-70.77	4843599	0.97	-76.85	35175	1.22	-76.85	  ORPHENADRINE+PARACETAMOL
SURGE LABS	  ORPHENADRINE+PARACETAMOL	   FEVERAL            		0	0	-100	0	0	-100	206984	0.04	-97.22	928	0.03	-96.95	  ORPHENADRINE+PARACETAMOL
SAMI	  PARACETAMOL+TRAMADOL	   TONOFLEX-P         		2391332923	62.8	27.55	6387297	46.19	17.72	1874860645	61.71	43.28	5425816	43.33	17.29	  PARACETAMOL+TRAMADOL
ATCO	  PARACETAMOL+TRAMADOL	   DISTALGESIC        		465100669	12.21	13.13	2587039	18.71	11.09	411110151	13.53	28.82	2328848	18.6	5.12	  PARACETAMOL+TRAMADOL
EFROZE	  PARACETAMOL+TRAMADOL	   TRAMAPAR           		156657332	4.11	103.98	538250	3.89	-21.37	76801797	2.53	22.95	684508	5.47	22.95	  PARACETAMOL+TRAMADOL
CELL LABORATORIES	  PARACETAMOL+TRAMADOL	   SIMGESIC           		116301076	3.05	-14.98	563065	4.07	-14.98	136797652	4.5	21.38	662298	5.29	21.38	  PARACETAMOL+TRAMADOL
HORIZON HEALTHCARE	  PARACETAMOL+TRAMADOL	   DOSTERIL           		94983321	2.49	14.37	155412	1.12	-10.86	83048012	2.73	34.08	174337	1.39	4.92	  PARACETAMOL+TRAMADOL
AXIS PHARMACEUTICA	  PARACETAMOL+TRAMADOL	   TOMOGEX            		44450411	1.17	135.18	299960	2.17	80.76	18900908	0.62	-22.06	165943	1.33	-22.06	  PARACETAMOL+TRAMADOL
WILSONS	  PARACETAMOL+TRAMADOL	   DIAGESIC-EXTRA     		44057637	1.16	37.1	238060	1.72	-13.95	32134802	1.06	-2.55	276652	2.21	1.88	  PARACETAMOL+TRAMADOL
GETZ PHARMA	  PARACETAMOL+TRAMADOL	   PANTRA PLUS        		41802460	1.1	-3.93	212876	1.54	-16.92	43512573	1.43	-13.87	256226	2.05	-26.98	  PARACETAMOL+TRAMADOL
AGP LIMITED	  PARACETAMOL+TRAMADOL	   CALFINA PLUS       		34854635	0.92	21.61	179469	1.3	5.18	28661993	0.94	46.15	170623	1.36	19.95	  PARACETAMOL+TRAMADOL
DYSON LABS	  PARACETAMOL+TRAMADOL	   EKCEL              		34130989	0.9	27.26	114726	0.83	15.84	26820319	0.88	6.75	99036	0.79	-19.25	  PARACETAMOL+TRAMADOL
GENETICS PHARMA	  PARACETAMOL+TRAMADOL	   TRAMPOL            		31565551	0.83	12.78	199025	1.44	-6.19	27987548	0.92	-13.17	212156	1.69	-21.81	  PARACETAMOL+TRAMADOL
GLOBAL	  PARACETAMOL+TRAMADOL	   RAMA-D PLUS        		30657269	0.81	-1.55	288539	2.09	-1.55	31138900	1.02	33.24	293072	2.34	33.24	  PARACETAMOL+TRAMADOL
MACTER	  PARACETAMOL+TRAMADOL	   TRAMCET            		30335028	0.8	96.45	196267	1.42	86.51	15441837	0.51	67.73	105234	0.84	39.1	  PARACETAMOL+TRAMADOL
JENNER PHARMA	  PARACETAMOL+TRAMADOL	   X-TRAM             		26831523	0.7	51.68	93392	0.68	43.32	17689864	0.58	999	65162	0.52	999	  PARACETAMOL+TRAMADOL
CONTINENTAL PHARMA	  PARACETAMOL+TRAMADOL	   TAXIDOL-P          		25044267	0.66	-18.14	140304	1.01	-23.04	30594425	1.01	20.93	182316	1.46	-2.84	  PARACETAMOL+TRAMADOL
WERRICK PHARMA	  PARACETAMOL+TRAMADOL	   SOLOGESIC EXTRA    		24768679	0.65	3.59	253388	1.83	3.59	23910628	0.79	-8.61	244610	1.95	-8.61	  PARACETAMOL+TRAMADOL
FYNK PHARMA	  PARACETAMOL+TRAMADOL	   TALIDOL-P          		22687352	0.6	168.88	106764	0.77	33.76	8437738	0.28	48.44	79820	0.64	19.36	  PARACETAMOL+TRAMADOL
S.J.& G. FAZUL	  PARACETAMOL+TRAMADOL	   FEVTRO-P           		22001492	0.58	999	132619	0.96	999	1966247	0.06	999	11852	0.09	999	  PARACETAMOL+TRAMADOL
BARRETT HODGSON	  PARACETAMOL+TRAMADOL	   FEBROL FAST        		21366980	0.56	-2.71	115522	0.84	-12.74	21961954	0.72	23.46	132384	1.06	0.76	  PARACETAMOL+TRAMADOL
GLOBAL	  PARACETAMOL+TRAMADOL	   TUMAPLAX-P         		20421911	0.54	9.75	175308	1.27	12.22	18606934	0.61	119.12	156220	1.25	120.51	  PARACETAMOL+TRAMADOL
THE SEARLE COMPANY	  PARACETAMOL+TRAMADOL	   TRAMAL PLUS        		683120894	43.01	56.76	3541109	42	25.61	435780636	37.94	25.77	2819134	40.72	18.87	  PARACETAMOL+TRAMADOL
HIGH-Q INTL	  PARACETAMOL+TRAMADOL	   FRENDOL-P          		366813152	23.09	35.83	2026592	24.04	35.83	270051276	23.51	328.5	1491996	21.55	295.41	  PARACETAMOL+TRAMADOL
PHARMEDIC	  PARACETAMOL+TRAMADOL	   DARVIN             		251200677	15.81	20.91	676969	8.03	-19.72	207754166	18.09	34.88	843274	12.18	-30.1	  PARACETAMOL+TRAMADOL
MURFY PHARMA	  PARACETAMOL+TRAMADOL	   TREMAVIN           		91651250	5.77	82.5	1078250	12.79	82.5	50219700	4.37	999	590820	8.53	999	  PARACETAMOL+TRAMADOL
MARTIN DOW LIMITED	  PARACETAMOL+TRAMADOL	   KROTAM             		57899987	3.65	13.86	299709	3.55	-0.92	50852645	4.43	20.79	302500	4.37	1.19	  PARACETAMOL+TRAMADOL
CUREXA HEALTH	  PARACETAMOL+TRAMADOL	   SEDEN-P            		28038928	1.77	999	194041	2.3	999	0	0	0	0	0	0	  PARACETAMOL+TRAMADOL
WILSHIRE	  PARACETAMOL+TRAMADOL	   ZULTRACET          		21355888	1.34	-15.19	81047	0.96	-15.19	25179807	2.19	-11.43	95562	1.38	-12.86	  PARACETAMOL+TRAMADOL
SAMI	  PARACETAMOL+TRAMADOL	   TONOFLEX-P         		21029679	1.32	-66.77	75475	0.9	-82.7	63288506	5.51	2.19	436388	6.3	-7.78	  PARACETAMOL+TRAMADOL
ASIAN CONTINENTAL	  PARACETAMOL+TRAMADOL	   JYSK-P             		20752556	1.31	24.26	184615	2.19	14.28	16700729	1.45	234.75	161547	2.33	234.75	  PARACETAMOL+TRAMADOL
EVOLUTION PHARMA	  PARACETAMOL+TRAMADOL	   TRALGIX PLUS       		14979947	0.94	723.36	93568	1.11	630.03	1819374	0.16	999	12817	0.19	999	  PARACETAMOL+TRAMADOL
SAFFRON PHARMA	  PARACETAMOL+TRAMADOL	   TRIFORT P          		14320920	0.9	3.67	93916	1.11	-7.52	13813435	1.2	14.92	101549	1.47	2.95	  PARACETAMOL+TRAMADOL
ASTA	  PARACETAMOL+TRAMADOL	   ASTADOL            		8670620	0.55	14.62	44159	0.52	14.62	7564777	0.66	-7.12	38527	0.56	-7.12	  PARACETAMOL+TRAMADOL
BIO-LABS	  PARACETAMOL+TRAMADOL	   P-TRAND            		7007026	0.44	28.39	31706	0.38	6.35	5457534	0.48	16.41	29813	0.43	-21.87	  PARACETAMOL+TRAMADOL
FOCUS & RULZ PHARM	  PARACETAMOL+TRAMADOL	   MOLTRIN            		1508377	0.09	999	9679	0.11	999	0	0	0	0	0	0	  PARACETAMOL+TRAMADOL
RG PHARMA PVT LTD	  PARACETAMOL+TRAMADOL	   DOLORAID           		37315	0	999	439	0.01	999	0	0	0	0	0	0	  PARACETAMOL+TRAMADOL
FORAY PHARMA	  PARACETAMOL+TRAMADOL	   FORGESIL           		0	0	0	0	0	0	0	0	-100	0	0	-100	  PARACETAMOL+TRAMADOL
PACIFIC	  BROMELAINS+DIMETICONE+METOCLOPRAMIDE+PANCREATIN+SODIUM	   PLASIL WITH ENZYME 		219231408	100	95.41	530145	100	0.35							  BROMELAINS+DIMETICONE+METOCLOPRAMIDE+PANCREATIN+SODIUM
SHAIGAN PHARMA	  BROMELAINS+DIMETICONE+METOCLOPRAMIDE+PANCREATIN+SODIUM	   PEPZYME            		187570103	100	36.91	346841	100	0.5							  BROMELAINS+DIMETICONE+METOCLOPRAMIDE+PANCREATIN+SODIUM
GETZ PHARMA	  PREGABALIN	   GABICA             		5035204571	47.81	26.95	7195591	35.81	7.7	3966252874	47.62	94.88	6681242	35.11	46.2	  PREGABALIN
HILTON	  PREGABALIN	   ZEEGAP             		1359239645	12.91	28.48	2025298	10.08	-32.02	1057951632	12.7	37.45	2979440	15.66	22.71	  PREGABALIN
HIGH-Q INTL	  PREGABALIN	   RETERIC            		538565609	5.11	22.71	1359378	6.76	17.16	438906647	5.27	85.4	1160301	6.1	38.61	  PREGABALIN
CCL	  PREGABALIN	   GABLIN             		522635541	4.96	-7.87	1127810	5.61	-19.02	567253290	6.81	60.16	1392707	7.32	37.29	  PREGABALIN
MAGNS PHARMA	  PREGABALIN	   PREGALAX           		346879315	3.29	302.83	1183760	5.89	203.51	86109635	1.03	469.99	390023	2.05	138.55	  PREGABALIN
SAMI	  PREGABALIN	   PREGY              		332830693	3.16	14.19	1094771	5.45	8.01	291475745	3.5	38.66	1013541	5.33	16.26	  PREGABALIN
ATCO	  PREGABALIN	   SYNGAB             		305721829	2.9	-4.36	797958	3.97	0.04	319644255	3.84	29.35	797631	4.19	2.79	  PREGABALIN
MARTIN DOW MARKER	  PREGABALIN	   DOLOGAB            		256127190	2.43	44.79	640219	3.19	14.31	176892921	2.12	86.77	560050	2.94	43.02	  PREGABALIN
MARTIN DOW LIMITED	  PREGABALIN	   PRELIN             		233089638	2.21	70.33	592977	2.95	43.25	136845043	1.64	18.39	413944	2.18	12.1	  PREGABALIN
OBS PAK PVT. LTD	  PREGABALIN	   LYRICA             		222661925	2.11	38.45	128077	0.64	15.15	160820903	1.93	-6.53	111228	0.58	-2.93	  PREGABALIN
HIGHNOON	  PREGABALIN	   HILIN              		208418245	1.98	12.85	641815	3.19	5.75	184681503	2.22	22.87	606907	3.19	7.96	  PREGABALIN
GENETICS PHARMA	  PREGABALIN	   LINGAB             		158589535	1.51	41.64	301384	1.5	9.73	111969679	1.34	37.17	274653	1.44	14.7	  PREGABALIN
PHARMEVO PVT. LTD.	  PREGABALIN	   XILICA             		150451132	1.43	43.64	414046	2.06	29.61	104739448	1.26	14.92	319464	1.68	-3.43	  PREGABALIN
SHAIGAN PHARMA	  PREGABALIN	   PEGALIN            		83377852	0.79	-15.4	230422	1.15	-18.95	98551163	1.18	69.32	284305	1.49	36.36	  PREGABALIN
HORIZON HEALTHCARE	  PREGABALIN	   ZOBLIN             		81693953	0.78	0.67	111774	0.56	-13.84	81153796	0.97	34.64	129734	0.68	18.81	  PREGABALIN
AGP LIMITED	  PREGABALIN	   NERGAB             		78760728	0.75	16.56	189503	0.94	-4.72	67570478	0.81	108.52	198890	1.05	81.56	  PREGABALIN
DYSON LABS	  PREGABALIN	   DYGAB              		69679176	0.66	37	241201	1.2	30.13	50860389	0.61	25.06	185360	0.97	-1.14	  PREGABALIN
NOVAMED PHARMA	  PREGABALIN	   NOVOGAB            		50405089	0.48	23.35	196944	0.98	24.13	40865011	0.49	27.93	158663	0.83	24.49	  PREGABALIN
GENIX PHARMA	  PREGABALIN	   SEIPIL             		44886595	0.43	38.1	123310	0.61	16.94	32503695	0.39	0.59	105446	0.55	-9.4	  PREGABALIN
NABIQASIM	  PREGABALIN	   PRENEU             		33397645	0.32	-39.42	85780	0.43	-47.22	55125566	0.66	20.57	162537	0.85	8.68	  PREGABALIN
NABIQASIM	  PREGABALIN	   PRENEU             		105320019	60.44	999	243731	65.69	999	0	0	0	0	0	0	  PREGABALIN
CCL	  PREGABALIN	   GABLIN             		57468139	32.98	999	110939	29.9	999	0	0	0	0	0	0	  PREGABALIN
HORIZON HEALTHCARE	  PREGABALIN	   ZOBLIN             		6876968	3.95	999	7635	2.06	999	0	0	0	0	0	0	  PREGABALIN
GETZ PHARMA	  PREGABALIN	   GABICA             		4561100	2.62	999	8615	2.32	999	0	0	0	0	0	0	  PREGABALIN
KAIZEN PHARMA PVT	  PREGABALIN	   REVOGAB            		35788	0.02	999	131	0.04	999	0	0	0	0	0	0	  PREGABALIN
GENETICS PHARMA	  PREGABALIN	   LINGAB             		738689	100	999	971	100	999	0	0	0	0	0	0	  PREGABALIN
THE SEARLE COMPANY	  DICLOFENAC+MISOPROSTOL	   ROTEC              		403261125	83.43	-12.22	1043712	83.05	-16.23	459391411	85.7	15.67	1245990	84.26	-0.26	  DICLOFENAC+MISOPROSTOL
GENIX PHARMA	  DICLOFENAC+MISOPROSTOL	   DIMIS              		41450271	8.58	9.19	98700	7.85	-1.64	37963086	7.08	-8.38	100342	6.79	-22.05	  DICLOFENAC+MISOPROSTOL
MCOLSON RESEARCH	  DICLOFENAC+MISOPROSTOL	   BRAVO              		21547728	4.46	22.36	62939	5.01	16.82	17609417	3.29	155.29	53877	3.64	92.32	  DICLOFENAC+MISOPROSTOL
SAFFRON PHARMA	  DICLOFENAC+MISOPROSTOL	   SOFAC-M            		5867040	1.21	21.49	17256	1.37	6.63	4829046	0.9	-28.93	16183	1.09	-38.36	  DICLOFENAC+MISOPROSTOL
BARRETT HODGSON	  DICLOFENAC+MISOPROSTOL	   MOBIKARE PLUS      		4961453	1.03	-20.9	15654	1.25	-27.77	6272555	1.17	-7.19	21672	1.47	-18.79	  DICLOFENAC+MISOPROSTOL
HIRANIS PHARMACEUT	  DICLOFENAC+MISOPROSTOL	   DOLACT             		2962087	0.61	116.8	8306	0.66	3.35	1366290	0.25	-22.74	8037	0.54	-22.74	  DICLOFENAC+MISOPROSTOL
SANTE PHAR	  DICLOFENAC+MISOPROSTOL	   DICLOTOL           		2574646	0.53	-42.38	6465	0.51	-44.45	4468316	0.83	40.48	11639	0.79	23.9	  DICLOFENAC+MISOPROSTOL
FRIENDS PHARMACEUT	  DICLOFENAC+MISOPROSTOL	   ARTISAF            		725478	0.15	-82.48	3692	0.29	-82.48	4140845	0.77	999	21073	1.42	999	  DICLOFENAC+MISOPROSTOL
STANDPHARM	  DICLOFENAC+MISOPROSTOL	   DISTOL             		796	0	300	4	0	300	199	0	-96.43	1	0	-96.43	  DICLOFENAC+MISOPROSTOL
HELIX PHARMA PVT L	  DICLOFENAC+MISOPROSTOL	   DIPROS             		0	0	-100	0	0	-100	978	0	999	5	0	999	  DICLOFENAC+MISOPROSTOL
WILSHIRE	  DICLOFENAC+MISOPROSTOL	   WONDRA             		0	0	0	0	0	0	0	0	-100	0	0	-100	  DICLOFENAC+MISOPROSTOL
GETZ PHARMA	  DICLOFENAC+MISOPROSTOL	   CYTOPAN            		149074576	77.09	-13.28	314058	75.68	-21.42	171894310	76.95	20.71	399648	70.55	0.38	  DICLOFENAC+MISOPROSTOL
SHAIGAN PHARMA	  DICLOFENAC+MISOPROSTOL	   ARTHO              		21886729	11.32	-15.84	47952	11.55	-35.62	26005306	11.64	41.64	74477	13.15	21.79	  DICLOFENAC+MISOPROSTOL
HORIZON HEALTHCARE	  DICLOFENAC+MISOPROSTOL	   ZOLFENAC           		18823318	9.73	56.37	39791	9.59	-9.26	12037802	5.39	38.28	43852	7.74	14.75	  DICLOFENAC+MISOPROSTOL
SCOTMANN PHARMA	  DICLOFENAC+MISOPROSTOL	   PAIN-AID PLUS      		2639403	1.36	-42.53	10254	2.47	-53.88	4592384	2.06	1.29	22235	3.93	2	  DICLOFENAC+MISOPROSTOL
PHARMASOL PVT.LTD	  DICLOFENAC+MISOPROSTOL	   ARTISOL-M          		841933	0.44	999	2562	0.62	999	0	0	0	0	0	0	  DICLOFENAC+MISOPROSTOL
CCL	  DICLOFENAC+MISOPROSTOL	   OSTEOTEC           		90462	0.05	-98.94	265	0.06	-98.94	8554713	3.83	-63.3	25011	4.42	-65.71	  DICLOFENAC+MISOPROSTOL
NABIQASIM	  DICLOFENAC+MISOPROSTOL	   MISOCOT            		26736	0.01	-88.72	108	0.03	-88.4	237109	0.11	-95.11	931	0.16	-94.86	  DICLOFENAC+MISOPROSTOL
MASS-PHARMA HEALTH	  DICLOFENAC+MISOPROSTOL	   D-FENAC            		0	0	-100	0	0	-100	47124	0.02	-76.45	252	0.04	-75.17	  DICLOFENAC+MISOPROSTOL
SAMI	  DICLOFENAC+MISOPROSTOL	   ERWIN              		0	0	-100	0	0	-100	2040	0	-97.83	8	0	-97.83	  DICLOFENAC+MISOPROSTOL
GLOBAL	  DICLOFENAC+MISOPROSTOL	   MISO PLUS          		0	0	0	0	0	0	0	0	-100	0	0	-100	  DICLOFENAC+MISOPROSTOL
UNISON	  DICLOFENAC+MISOPROSTOL	   SAMOTEC            		0	0	0	0	0	0	0	0	-100	0	0	-100	  DICLOFENAC+MISOPROSTOL
WILSHIRE	  DICLOFENAC+MISOPROSTOL	   WONDRA             		0	0	-100	0	0	-100	15938	0.01	614.07	50	0.01	614.29	  DICLOFENAC+MISOPROSTOL
SAFE PHARMA	  DICLOFENAC+MISOPROSTOL	   ARTHOPAN           		9628875	100	54.26	22954	100	17.95	6241874	100	-5.71	19461	100	-15.94	  DICLOFENAC+MISOPROSTOL
ACE HEALTHTEK	  DICLOFENAC+MISOPROSTOL	   THERADIC-M         		0	0	0	0	0	0	0	0	-100	0	0	-100	  DICLOFENAC+MISOPROSTOL
HIGH-Q INTL	  FAMOTIDINE	   FAMOPSIN           		209829640	33.09	1.75	1234292	23.83	1.75	206223090	35.38	6.2	1213077	24.66	6.2	  FAMOTIDINE
SHAIGAN PHARMA	  FAMOTIDINE	   FAMOT              		199672289	31.49	3.89	818126	15.8	-3.07	192199252	32.98	18.8	844015	17.16	2.01	  FAMOTIDINE
FEROZSONS	  FAMOTIDINE	   H 2 F              		58537528	9.23	45.44	330081	6.37	48.76	40248724	6.91	90.17	221891	4.51	52.78	  FAMOTIDINE
SAFFRON PHARMA	  FAMOTIDINE	   APSIN              		40706865	6.42	0.74	181607	3.51	-12.74	40406898	6.93	30.93	208111	4.23	-0.71	  FAMOTIDINE
BATALA PHARMA	  FAMOTIDINE	   FEMME              		30707260	4.84	8.07	1535363	29.64	8.07	28414720	4.88	-13.49	1420736	28.88	-13.49	  FAMOTIDINE
AXIS PHARMACEUTICA	  FAMOTIDINE	   FEPTID             		23162531	3.65	49.8	173649	3.35	51.25	15462736	2.65	-9.82	114808	2.33	-9.61	  FAMOTIDINE
AMSON VACC. PH PVT	  FAMOTIDINE	   FAMOTID            		16906029	2.67	25.26	175114	3.38	-1.65	13496863	2.32	-9.49	178048	3.62	-9.62	  FAMOTIDINE
ZAFA	  FAMOTIDINE	   FAMTAZA            		10136723	1.6	-10.82	75944	1.47	-11.35	11367049	1.95	-1.36	85667	1.74	-13.81	  FAMOTIDINE
WERRICK PHARMA	  FAMOTIDINE	   PEPTIBAN           		8735612	1.38	151.55	87396	1.69	152.01	3472746	0.6	-1.3	34680	0.7	-8.55	  FAMOTIDINE
DONVALLEY	  FAMOTIDINE	   ULSIN              		7315440	1.15	15.83	47670	0.92	11.37	6315818	1.08	-6	42803	0.87	-48.26	  FAMOTIDINE
SAFE PHARMA	  FAMOTIDINE	   MAFOTAB            		4095171	0.65	321.36	17911	0.35	262.86	971890	0.17	999	4936	0.1	999	  FAMOTIDINE
ALLIANCE PHARMA	  FAMOTIDINE	   AFOMIT             		3982655	0.63	23.65	62473	1.21	23.65	3220844	0.55	215.06	50523	1.03	215.06	  FAMOTIDINE
WIMITS PHARMA	  FAMOTIDINE	   FAMITOL            		3756216	0.59	-5.32	25397	0.49	-14.35	3967429	0.68	-40.56	29651	0.6	-58.47	  FAMOTIDINE
FYNK PHARMA	  FAMOTIDINE	   NO-UL              		3510039	0.55	51.48	25027	0.48	4.24	2317121	0.4	3.4	24010	0.49	0.18	  FAMOTIDINE
GLITZ PHARMA	  FAMOTIDINE	   LITZ               		3335129	0.53	-23.49	19216	0.37	-30.02	4359231	0.75	-21	27461	0.56	-31.08	  FAMOTIDINE
SUNSHINE PHARMACEU	  FAMOTIDINE	   FAMSURE            		3102955	0.49	-14.46	310710	6	-14.54	3627427	0.62	-5.42	363567	7.39	-5.56	  FAMOTIDINE
CORE HEALTH	  FAMOTIDINE	   FAMDIN             		1575901	0.25	192.31	7416	0.14	192.31	539113	0.09	999	2537	0.05	999	  FAMOTIDINE
AKSON PHARMA	  FAMOTIDINE	   GEPEP              		1409229	0.22	37.29	12962	0.25	37.29	1026425	0.18	52.25	9441	0.19	52.25	  FAMOTIDINE
ROTEX PHARMA	  FAMOTIDINE	   VOLVIC             		1200800	0.19	71.39	10492	0.2	75.36	700610	0.12	999	5983	0.12	999	  FAMOTIDINE
PHARMIX LAB	  FAMOTIDINE	   ULCOFIN            		445993	0.07	-82.55	3904	0.08	-82.55	2555892	0.44	169	22373	0.45	169	  FAMOTIDINE
OBS AGP PVT LTD	  FAMOTIDINE	   NOCID              		123414899	34.94	24.96	482361	27.05	17.63	98763211	34.08	1.24	410071	23.75	1.28	  FAMOTIDINE
WILSONS	  FAMOTIDINE	   POLYPEP            		90346897	25.58	63.5	276769	15.52	-27.47	55259128	19.07	10.47	381571	22.1	1.87	  FAMOTIDINE
ASPIN PHARMA PVT.	  FAMOTIDINE	   PEPCIDINE          		43550054	12.33	-6.27	115603	6.48	-15.81	46463006	16.03	-5.11	137319	7.95	-10.12	  FAMOTIDINE
BARRETT HODGSON	  FAMOTIDINE	   ACICON             		31054575	8.79	5.16	163747	9.18	0.55	29531888	10.19	13.93	162856	9.43	3.87	  FAMOTIDINE
SIZA	  FAMOTIDINE	   ULCENIL            		14895198	4.22	64.15	208136	11.67	64.5	9074206	3.13	-25.98	126527	7.33	-26.11	  FAMOTIDINE
GLOBAL	  FAMOTIDINE	   FADIPHINE          		13126951	3.72	-6.48	188335	10.56	-6.48	14036674	4.84	26.85	201387	11.66	26.85	  FAMOTIDINE
FOCUS & RULZ PHARM	  FAMOTIDINE	   ULFAM              		10848615	3.07	98.32	58223	3.26	30.7	5470150	1.89	599.89	44546	2.58	593.54	  FAMOTIDINE
CIBEX PHARMA	  FAMOTIDINE	   FAMOBEX            		9044951	2.56	-0.09	61496	3.45	-0.4	9052961	3.12	14.4	61744	3.58	15.21	  FAMOTIDINE
SHROOQ PHARMA	  FAMOTIDINE	   FOMEN              		3791317	1.07	14.9	32483	1.82	14.98	3299685	1.14	-37.93	28252	1.64	-37.92	  FAMOTIDINE
PLATINUM PHARMA	  FAMOTIDINE	   REDUCID            		3127347	0.89	45.17	15085	0.85	-10.86	2154210	0.74	-29.39	16922	0.98	-30.76	  FAMOTIDINE
BRYON	  FAMOTIDINE	   NOCER              		2681387	0.76	11.96	23367	1.31	14.91	2395035	0.83	-17.9	20335	1.18	-18.9	  FAMOTIDINE
DAVIS PHARMA	  FAMOTIDINE	   ULFARID            		2504575	0.71	-30.11	19976	1.12	-34.61	3583633	1.24	-17.26	30551	1.77	-17.26	  FAMOTIDINE
ISIS PHARMA	  FAMOTIDINE	   FAMGARD            		1327755	0.38	196.46	88517	4.96	196.46	447870	0.15	5.76	29858	1.73	5.76	  FAMOTIDINE
UNISON	  FAMOTIDINE	   GD-CID             		963288	0.27	38.22	7870	0.44	38.22	696946	0.24	-55.61	5694	0.33	-55.61	  FAMOTIDINE
UNIVERSAL PHARMA	  FAMOTIDINE	   ZEMOT              		415888	0.12	123.18	4448	0.25	123.18	186346	0.06	999	1993	0.12	999	  FAMOTIDINE
EPHARM LABS	  FAMOTIDINE	   PHARMOTIDIN        		374655	0.11	45.23	4007	0.22	45.23	257967	0.09	53.96	2759	0.16	53.96	  FAMOTIDINE
RAKAPOSHI	  FAMOTIDINE	   H2-BF              		374469	0.11	999	5874	0.33	999	31748	0.01	12.93	498	0.03	12.93	  FAMOTIDINE
XENON PHARMA	  FAMOTIDINE	   FAMOTOP            		326035	0.09	999	3487	0.2	999	0	0	0	0	0	0	  FAMOTIDINE
